# File: KOR_en_bal.csv
# Title: South Korea energy balance override (GCAM_region_ID 28), by intermediate sector / intermediate fuel / historical year
# Units: EJ
# Source: Extracted from L101.en_bal_EJ_R_Si_Fi_Yh_full (region 28), the same processing as the global IEA-based balance.
#   Serves as the editable Korea-specific overlay; sector=TES is excluded and recomputed downstream from in_/net_ sectors.
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
chemical energy use,gasified biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.186e-5,1.6744e-4,1.2558e-4,1.2558e-4,1.2558e-4,1.2558e-4,0,1.2558e-4,8.372e-5,8.372e-5,1.2558e-4,1.2558e-4,6.279e-4,3.7674000000000003e-4,2.0930000000000002e-4,2.5116e-4,2.5116e-4,3.3488e-4,2.5116e-4,2.0930000000000002e-4
chemical energy use,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04407858,0.041399540000000006,0.04303208,0.043994860000000004,0.07714798,0.07731542000000001,0.07915726000000001,0.08543626,0.07815262,0.0625807,0.06107374,0.06358534,0.05404126,0.057306340000000004,0.06743646,0.06911086000000001,0.07530614000000001,0.079031680000000007,0.08656648,0.08631532,0.08372,0.09008272
chemical energy use,refined liquids,0.0012976600000000002,0.0014651,0.00196742,0.00322322,0.00154882,0.0020930000000000002,0.00217672,0.00221858,0.0022604400000000003,0.0019255600000000002,0.0464646,0.051404080000000005,0.0516971,0.04755296,0.04273906,0.045752980000000006,0.050776180000000004,0.06672484000000001,0.08828274000000001,0.11013366,0.13282178,0.15111460000000002,0.16216564,0.17166786,0.13470548000000002,0.1496495,0.10795694000000002,0.07254338,0.08346884,0.0770224,0.07622706,0.07375732,0.06932015999999999,0.06454812,0.07191548,0.06957132,0.06454812,0.05278546,0.04893434000000001,0.04759482,0.0391391,0.02808806,0.022227660000000003,0.023399740000000002,0.022311380000000002,0.02180906,0.0267904,0.032315920000000005,0.03227406,0.056008680000000005,0.07363174
chemical feedstocks,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01599052,0.018585840000000003,0.015906800000000002,0.0169533,0.013771940000000002,0.019046300000000002,0.01984164,0.023902060000000003,0.02310672,0.02398578,0.021474180000000002,0.02126488,0.02168348,0.02055326,0.020762560000000003
chemical feedstocks,refined liquids,0.018585840000000003,0.01908816,0.03675308000000001,0.0445809,0.0521157,0.05852028,0.0736736,0.08606416,0.09933378000000001,0.11461268000000001,0.10456628000000001,0.1008826,0.11670568,0.12725440000000002,0.13211016,0.14939834000000002,0.16015636000000003,0.17166786000000003,0.17376086,0.24889956000000002,0.34739614,0.53145456,0.58796556,0.6243837600000001,0.65079742,0.69085744,0.8594695200000001,0.94787784,0.9703148,0.9598498,0.9870588,1.0831275,1.12934094,1.11046208,1.188824,1.2439954800000002,1.35433844,1.3593616400000001,1.44303978,1.50327632,1.57473134,1.7067159200000002,1.73861324,1.83455636,1.8793884200000002,1.9815268200000002,2.08257686,2.0209589400000003,2.07148396,1.95553176,2.0863861200000002
construction energy use,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0930000000000002e-4,0.00108836,0.0010465000000000001,0.00129766,0.00129766,0.00129766,0.0011302200000000001,0.00108836
construction energy use,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.186e-5,4.186e-5,0,3.3488e-4,3.3488e-4,2.9302e-4,1.2558e-4,1.6744e-4,1.2558e-4,1.2558e-4,1.2558e-4
construction energy use,refined liquids,0,0,0,0,0,0,0,0,0,0,0.014525419999999999,0.01352078,0.013353340000000002,0.01607424,0.01645098,0.015655640000000002,0.01607424,0.0175812,0.016618420000000002,0.021348600000000002,0.020971860000000002,0.01812538,0.0179998,0.016744000000000002,0.0161161,0.01607424,0.01850212,0.01385566,0.014357980000000001,0.018920720000000002,0.017832360000000002,0.021097440000000002,0.022353240000000003,0.02360904,0.025199720000000002,0.035287980000000004,0.03231592,0.03147872,0.03164616,0.03415776,0.03440892,0.02997176,0.02926014,0.03122756,0.03440892,0.035874020000000006,0.030348500000000004,0.029929900000000002,0.029385720000000004,0.028841540000000002,0.027376440000000002
construction feedstocks,refined liquids,0.00632086,0.005065060000000001,0.008497580000000001,0.00510692,0.007367360000000001,0.006613880000000001,0.009292920000000001,0.012306840000000001,0.012558000000000001,0.01138592,0.010381280000000001,0.01071616,0.010465,0.013227760000000002,0.018209100000000002,0.018585840000000003,0.01791608,0.021976500000000003,0.022060220000000002,0.03260894,0.044748340000000005,0.06362720000000001,0.06032026,0.060110960000000005,0.06078072,0.0684411,0.07706426000000001,0.06283186,0.06567834,0.06563648,0.07040852,0.05019014,0.06731088,0.07442708,0.0508599,0.052450580000000004,0.052785460000000006,0.048139,0.06057142,0.05387382,0.050525020000000004,0.049227360000000005,0.051780820000000005,0.04571112,0.04943666,0.05559008,0.05642728,0.051655240000000005,0.06605508,0.06299930000000001,0.059231900000000004
food processing,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2558e-4,1.6744e-4,1.6744e-4,1.6744e-4,2.0930000000000002e-4,2.9302e-4,1.2558e-4,1.2558e-4,1.6744e-4,2.0930000000000002e-4,1.6744e-4,1.6744e-4,2.0930000000000002e-4,2.5116e-4,2.9302e-4,2.5116e-4,3.7674000000000003e-4,3.3488e-4,4.1860000000000004e-4,2.0930000000000002e-4,2.9302e-4,9.209200000000001e-4,8.790600000000001e-4,9.627800000000001e-4,0.0020511400000000003,0.0035999600000000006,0.0025116,0.00498134,0.00510692,0.00406042,0.005399940000000001,0.005734820000000001
food processing,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6744e-4,2.9302e-4,2.9302e-4,3.7674000000000003e-4,3.7674000000000003e-4,4.1860000000000004e-4,5.4418e-4,9.627800000000001e-4,0.00117208,0.0012558,0.00133952,0.00117208,0.0011302200000000001,0.00108836,0.0011302200000000001,0.0012558,0.0012558,9.209200000000001e-4,8.790600000000001e-4,8.790600000000001e-4,8.790600000000001e-4,8.372000000000001e-4,9.209200000000001e-4,0.00100464,8.790600000000001e-4,0.0012139400000000002,9.209200000000001e-4,9.209200000000001e-4,0.0012976600000000002,9.627800000000001e-4,9.209200000000001e-4,0,0,0,0
food processing,electricity,0.0018837,0.00213486,0.00255346,0.00288834,0.0031813600000000003,0.0036836800000000004,0.004311580000000001,0.0048139,0.005609240000000001,0.0054836600000000004,0.00552552,0.0056511,0.00632086,0.00686504,0.00728364,0.00786968,0.00887432,0.01017198,0.0113022,0.012725440000000001,0.0136045,0.01452542,0.014776580000000001,0.01682772,0.01829282,0.019757920000000002,0.02055326,0.01950676,0.0207207,0.02310672,0.02381834,0.025199720000000002,0.026204360000000003,0.0269997,0.027543880000000003,0.02796248,0.02842294,0.02821364,0.029427580000000002,0.031939180000000005,0.0339066,0.03549728,0.03625076,0.0366275,0.0378833,0.041148380000000005,0.04106466,0.041273960000000005,0.0422786,0.0445809,0.04675762
food processing,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1860000000000004e-4,5.0232e-4,7.953400000000001e-4,0.0010465000000000001,0.00142324,0.00255346,0.004855760000000001,0.00644644,0.00694876,0.009292920000000001,0.01033942,0.010130120000000001,0.00908362,0.0092092,0.01511146,0.01762306,0.01887886,0.021976500000000003,0.02452996,0.026539240000000002,0.02683226,0.02821364,0.02695784,0.02829736,0.028255500000000003,0.02808806,0.028506660000000003,0.029929900000000002,0.03214848
food processing,gasified biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0232e-4,5.0232e-4,6.279e-4,7.534800000000001e-4,7.953400000000001e-4,7.953400000000001e-4,9.627800000000001e-4,8.372000000000001e-4,8.372000000000001e-4,8.790600000000001e-4,8.372000000000001e-4,8.372000000000001e-4,8.372000000000001e-4,0.00100464,9.627800000000001e-4,6.6976e-4,2.9302e-4,2.9302e-4,2.0930000000000002e-4,2.0930000000000002e-4,1.6744e-4,5.8604e-4,7.534800000000001e-4,7.534800000000001e-4,6.6976e-4,0.00100464,3.7674000000000003e-4,2.9302e-4,2.9302e-4,4.1860000000000004e-4,3.3488e-4,3.3488e-4
food processing,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017581200000000002,0.00154882,0.0029720600000000003,0.0039767000000000005,0.0012139400000000002,0.0010465000000000001,9.209200000000001e-4,0,0.005609240000000001,0.00841386,0.0031813600000000003,0.00569296,0.0054836600000000004,0.00426972,0.0056511,0.0043953,0.0048139,0.00489762,0.00535808,0.0054418,0.0054836600000000004,0.00556738
food processing,refined liquids,0,0,0,0,0,0,0,0,0,0,0.02649738,0.02369276,0.025157860000000004,0.02829736,0.029804320000000002,0.030641520000000002,0.0328601,0.03520426,0.039222820000000005,0.042948360000000005,0.04382742,0.04725994,0.04801342,0.05207384,0.05596682,0.05559008,0.05094362,0.04131582,0.03608332,0.03503682,0.031060120000000004,0.029929900000000002,0.02829736,0.028004340000000003,0.026455520000000003,0.0246974,0.0203021,0.01377194,0.012809160000000002,0.011092900000000001,0.00883246,0.006823180000000001,0.00426972,0.00343252,0.00326508,0.00326508,0.00339066,0.00380926,0.00339066,0.00284648,0.0018837
in_bld_comm,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196742,0.00217672,0.0017162600000000003,0.00171626,0.00171626,0.00196742,0.00309764,0.00510692,0.005065060000000001,0.00598598,0.005944120000000001,0.008372000000000001,0.010255700000000001,0.010799880000000001,0.010925460000000001,0.010465,0.01071616,0.01138592,0.01347892,0.01728818,0.01984164,0.02599506,0.02817178,0.02507414,0.04675762,0.05789238000000001,0.029553160000000002,0.03122756,0.031562440000000004,0.02754388,0.026078780000000003,0.02373462
